Exchange,Exchange Amount,Card Before 1,Card Before 2,Card Before 3,Card Before 4,Card Before 5,Card Exchanged 1,Card Exchanged 2,Card Exchanged 3,Win
['t'],3,1,1,3,6,7,3,6,7,True
['t'],3,1,1,6,8,13,6,8,13,False
['t'],2,1,1,5,9,11,5,9,,True
['t'],3,1,1,7,12,13,7,12,13,False
['t'],3,1,1,2,5,6,2,5,6,False
['n'],0,1,1,5,9,11,0,0,0,True
['t'],3,1,1,5,6,13,5,6,13,False
['t'],2,1,1,3,5,11,3,5,,True
['t'],3,1,1,2,6,9,2,6,9,False
['t'],2,1,1,4,11,13,4,11,,True
['t'],3,1,1,5,6,7,5,6,7,False
['t'],3,1,1,2,4,8,2,4,8,True
['t'],3,1,1,4,7,8,4,7,8,False
['t'],2,1,1,3,8,13,3,8,,True
['n'],0,1,1,4,11,12,0,0,0,True
['t'],3,1,1,3,6,13,3,6,13,False
['t'],2,1,1,6,11,12,6,11,,True
['n'],0,1,1,4,8,9,0,0,0,False
['n'],0,1,1,11,12,13,0,0,0,True
['n'],0,1,1,2,5,10,0,0,0,False
['t'],3,1,1,4,6,13,4,6,13,False
['t'],2,1,1,7,8,9,7,8,,True
['n'],0,1,1,6,8,13,0,0,0,True
['n'],0,1,1,3,5,10,0,0,0,False
['t'],3,1,1,2,10,11,2,10,11,False
['t'],2,1,1,9,10,12,9,10,,True
['t'],3,1,1,5,6,12,5,6,12,True
['t'],2,1,1,3,5,10,3,5,,False
['t'],3,1,1,5,6,11,5,6,11,False
['t'],3,1,1,3,7,8,3,7,8,True
['t'],3,1,1,2,3,5,2,3,5,False
['t'],2,1,1,5,9,11,5,9,,True
['n'],0,1,1,2,7,9,0,0,0,False
['n'],0,1,1,4,8,11,0,0,0,True
['t'],2,1,1,2,3,5,2,3,,False
['t'],3,1,1,5,11,12,5,11,12,True
['t'],3,1,1,5,8,12,5,8,12,True
['t'],3,1,1,10,11,12,10,11,12,False
['t'],3,1,1,3,11,13,3,11,13,True
['t'],3,1,1,5,7,13,5,7,13,False
['t'],2,1,1,5,7,13,5,7,,True
['t'],3,1,1,4,8,12,4,8,12,False
['t'],3,1,1,2,4,8,2,4,8,False
['t'],3,1,1,5,7,11,5,7,11,True
['t'],3,1,1,5,7,12,5,7,12,False
['t'],2,1,1,2,6,7,2,6,,True
['t'],3,1,1,5,8,11,5,8,11,False
['t'],2,1,1,6,7,10,6,7,,True
['t'],3,1,1,3,4,10,3,4,10,True
['t'],3,1,1,5,8,9,5,8,9,False
['t'],2,1,1,7,10,13,7,10,,False
['t'],2,1,1,4,8,12,4,8,,True
['t'],2,1,1,3,7,13,3,7,,True
['n'],0,1,1,5,6,10,0,0,0,False
['t'],2,1,1,9,11,13,9,11,,False
['t'],3,1,1,3,5,6,3,5,6,True
['t'],3,1,1,2,4,7,2,4,7,False
['n'],0,1,1,10,11,13,0,0,0,True
['t'],2,1,1,3,7,9,3,7,,True
['t'],2,1,1,2,3,5,2,3,,False
['t'],2,1,1,4,6,10,4,6,,False
['t'],2,1,1,4,7,9,4,7,,True
['t'],3,1,1,2,3,6,2,3,6,True
['t'],3,1,1,6,8,10,6,8,10,False
['t'],2,1,1,2,8,12,2,8,,False
['t'],2,1,1,4,10,13,4,10,,True
['t'],2,1,1,4,8,11,4,8,,True
['t'],3,1,1,6,7,13,6,7,13,False
['t'],2,1,1,4,6,13,4,6,,True
['t'],3,1,1,3,5,9,3,5,9,False
['t'],2,1,1,8,9,10,8,9,,False
['t'],2,1,1,6,9,13,6,9,,True
['t'],2,1,1,4,9,11,4,9,,True
['t'],2,1,1,6,7,8,6,7,,False
['t'],3,1,1,3,7,11,3,7,11,True
['t'],3,1,1,3,4,12,3,4,12,False
['t'],2,1,1,5,6,13,5,6,,True
['t'],3,1,1,3,4,6,3,4,6,False
['t'],2,1,1,4,6,8,4,6,,True
['t'],3,1,1,3,6,7,3,6,7,False
['t'],2,1,1,4,9,12,4,9,,True
['t'],2,1,1,3,8,12,3,8,,False
['n'],0,1,1,4,6,10,0,0,0,False
['t'],2,1,1,10,11,12,10,11,,True
['t'],3,1,1,3,6,8,3,6,8,True
['t'],3,1,1,7,9,11,7,9,11,False
['t'],3,1,1,4,7,13,4,7,13,False
['t'],2,1,1,2,3,9,2,3,,True
['t'],2,1,1,2,9,13,2,9,,True
['t'],2,1,1,3,5,10,3,5,,False
['t'],3,1,1,3,5,13,3,5,13,True
['t'],2,1,1,3,7,9,3,7,,False
['n'],0,1,1,2,6,12,0,0,0,True
['t'],3,1,1,2,7,10,2,7,10,False
['t'],2,1,1,2,4,5,2,4,,True
['t'],3,1,1,7,9,12,7,9,12,False
['n'],0,1,1,5,8,12,0,0,0,True
['n'],0,1,1,3,4,8,0,0,0,False
['n'],0,1,1,7,11,13,0,0,0,False
['t'],3,1,1,2,4,7,2,4,7,True
['t'],2,1,1,4,11,13,4,11,,True
['n'],0,1,1,2,7,11,0,0,0,False
['t'],3,1,1,4,6,11,4,6,11,False
['n'],0,1,1,5,8,11,0,0,0,True
['t'],3,1,1,2,5,7,2,5,7,False
['t'],2,1,1,3,9,10,3,9,,True
['t'],2,1,1,4,9,12,4,9,,False
['t'],2,1,1,5,11,13,5,11,,True
['t'],3,1,1,7,10,11,7,10,11,True
['t'],3,1,1,2,4,11,2,4,11,False
['t'],2,1,1,3,8,9,3,8,,True
['t'],3,1,1,5,7,13,5,7,13,False
['t'],2,1,1,9,11,13,9,11,,False
['t'],2,1,1,10,11,12,10,11,,True
['t'],2,1,1,7,9,11,7,9,,True
['n'],0,1,1,4,9,10,0,0,0,False
['t'],2,1,1,3,9,13,3,9,,True
['n'],0,1,1,5,10,12,0,0,0,False
['t'],3,1,1,2,8,11,2,8,11,False
['t'],3,1,1,2,3,6,2,3,6,True
['n'],0,1,1,2,3,8,0,0,0,False
['t'],3,1,1,4,7,12,4,7,12,True
['t'],2,1,1,4,5,7,4,5,,True
['n'],0,1,1,3,5,9,0,0,0,False
['t'],2,1,1,4,11,13,4,11,,True
['n'],0,1,1,8,9,11,0,0,0,False
['t'],2,1,1,9,12,13,9,12,,True
['n'],0,1,1,5,7,12,0,0,0,False
['t'],3,1,1,5,9,13,5,9,13,False
['t'],2,1,1,3,5,8,3,5,,True
['n'],0,1,1,2,10,12,0,0,0,True
['t'],3,1,1,5,7,10,5,7,10,False
['n'],0,1,1,9,11,13,0,0,0,True
['t'],3,1,1,3,5,11,3,5,11,False
['t'],3,1,1,2,4,12,2,4,12,False
['t'],3,1,1,4,5,9,4,5,9,True
['n'],0,1,1,3,6,10,0,0,0,False
['t'],2,1,1,2,7,11,2,7,,True
['t'],3,1,1,3,5,8,3,5,8,False
['t'],3,1,1,3,5,11,3,5,11,True
['n'],0,1,1,4,6,9,0,0,0,False
['t'],3,1,1,4,7,13,4,7,13,True
['n'],0,1,1,6,7,13,0,0,0,False
['t'],2,1,1,4,11,13,4,11,,True
