Player ID,Exchange,Exchange Amount,Cards Before 1,Cards Before 2,Cards Before 3,Cards Before 4,Cards Before 5,Card Exchanged 1,Card Exchanged 2,Card Exchanged 3,Win
Nick,['t'],3,3,3,6,8,12,6,8,12,False
Adam,['t'],2,5,5,4,9,13,4,9,,True
Nick,['t'],2,8,8,4,11,12,4,11,,True
Adam,['n'],0,4,4,1,5,10,0,0,0,False
Nick,['t'],3,9,9,2,5,12,2,5,12,True
Adam,['n'],0,6,6,1,5,13,0,0,0,False
Nick,['t'],2,13,13,7,11,12,7,11,,True
Adam,['t'],3,6,6,1,4,9,1,4,9,False
Nick,['t'],3,9,9,3,5,8,3,5,8,True
Adam,['t'],3,2,2,3,5,6,3,5,6,False
